longitude,latitude,temperature
-23.60,25.90,20.20
-14.20,6.32,28.00
0.00,0.00,15.20
-38.30,4.94,26.20
-27.00,4.08,26.90
-38.40,46.70,11.00
-55.10,26.00,22.80
-59.40,28.50,21.90
-28.40,28.60,20.10
-58.00,19.70,25.00
-40.70,17.80,23.50
-52.10,28.70,21.30
-27.30,18.40,21.20
-11.20,55.50,10.40
-37.60,14.60,23.80
-21.80,50.30,11.40
-16.40,44.20,12.80
-13.70,44.10,12.20
-31.90,32.70,19.40
-22.30,18.40,19.90
-2.09,44.50,11.70
-17.90,52.50,11.40
-50.70,57.50,3.25
-36.00,52.00,5.40
-62.40,39.30,27.30
-62.30,38.70,27.10
-61.20,38.00,27.10
-61.80,37.60,26.50
-61.00,36.20,25.90
-60.40,36.90,25.30
-61.00,38.10,25.10
-55.40,35.70,18.70
-47.90,51.60,4.74
-42.80,56.50,3.41
-45.50,55.30,3.34
-41.70,46.00,13.60
-49.90,38.70,19.60
-48.50,39.00,17.00
-47.50,38.70,18.60
-47.80,38.60,18.70
-46.90,37.70,18.50
-47.40,37.70,18.40
-46.50,38.50,18.00
-45.70,39.10,18.00
-45.50,39.60,18.10
-45.90,40.50,18.40
-47.00,41.40,17.00
-47.50,42.00,14.60
-47.10,41.70,16.70
-46.10,42.90,15.80
-45.10,43.40,18.40
-41.60,44.20,18.90
-42.00,41.80,20.50
-39.30,41.50,21.90
-39.00,40.40,22.10
-40.40,40.20,23.30
-40.70,41.10,25.50
-40.30,40.80,25.10
-54.00,39.20,16.10
-53.00,59.30,3.62
-39.80,56.60,4.05
-60.50,15.50,21.10
-18.60,4.91,27.90
-41.50,15.00,13.20
-25.60,30.90,19.20
-26.20,21.80,21.00
-30.80,35.90,17.70
-52.90,23.90,24.00
-24.00,24.20,20.30
-34.00,18.10,22.50
-31.20,11.70,23.60
-30.70,6.29,26.20
-25.80,13.00,22.90
-23.00,20.30,20.40
-26.20,17.40,21.30
-25.40,7.55,25.70
-42.40,1.92,27.10
-53.90,35.10,18.50
-34.20,37.00,18.20
-31.90,47.70,11.80
-48.70,25.50,23.40
0.00,0.00,14.50
-20.80,11.80,21.60
-19.70,20.50,18.90
0.00,0.00,24.50
-28.60,60.30,7.78
-13.20,54.20,10.30
-13.40,48.70,11.50
-21.50,37.20,15.70
-8.18,45.50,11.90
-22.70,47.40,12.90
-34.20,5.38,25.60
