"x","y","temperature"
-49.9,0,21.1148910522461
-48.9,0,21.9473285675049
-48.4,0,21.9510765075684
-47.9,0,22.0219802856445
-47.4,0,22.3282527923584
-46.9,0,22.7958297729492
-46.4,0,22.9915599822998
-45.9,0,22.9723472595215
-45.4,0,23.2953014373779
-44.9,0,23.0938014984131
-44.4,0,22.2261219024658
-43.9,0,21.9538803100586
-43.4,0,22.9154167175293
-42.9,0,23.3997364044189
-42.4,0,23.8967380523682
-41.9,0,23.9137592315674
-41.4,0,23.1030616760254
-40.9,0,22.6919364929199
-40.4,0,23.503023147583
-39.9,0,23.9487419128418
-39.4,0,23.2991981506348
-38.9,0,22.7223358154297
-38.4,0,22.3343696594238
-37.9,0,21.7078971862793
-37.4,0,22.1975212097168
-36.9,0,23.410758972168
-36.4,0,23.5082015991211
-35.9,0,23.378625869751
-35.4,0,22.6595554351807
-34.9,0,22.6843032836914
-34.4,0,22.9281940460205
-33.9,0,23.7437686920166
-33.4,0,23.3491477966309
-32.9,0,22.8170433044434
-32.4,0,22.3963985443115
-31.9,0,23.3123264312744
-31.4,0,23.5508499145508
-30.9,0,23.1070995330811
-30.4,0,22.9734268188477
-29.9,0,22.8887901306152
-29.4,0,23.8247947692871
-28.9,0,23.9456081390381
-28.4,0,24.1975803375244
-27.9,0,23.1804866790771
-27.4,0,23.0075931549072
-26.9,0,23.1944427490234
-26.4,0,23.0519943237305
-25.9,0,22.9189453125
-25.4,0,22.2549724578857
-24.9,0,22.8492965698242
-24.4,0,23.152271270752
-23.9,0,23.566276550293
-23.4,0,24.0570182800293
-22.9,0,23.800106048584
-22.4,0,23.0558757781982
-21.9,0,23.0998458862305
-21.4,0,24.1112728118896
-20.9,0,24.4456787109375
-20.4,0,24.562837600708
-19.9,0,23.9574394226074
-19.4,0,23.1831016540527
-18.9,0,22.974479675293
-18.4,0,21.1734924316406
-17.9,0,21.1446666717529
-17.4,0,22.1933898925781
-16.9,0,23.3045616149902
-16.4,0,23.5759792327881
-15.9,0,23.2883167266846
-15.4,0,23.7236881256104
-14.9,0,23.8588752746582
-14.4,0,24.4074153900146
-13.9,0,24.0957050323486
-13.4,0,23.8122749328613
-12.9,0,23.3030242919922
-12.4,0,23.5400142669678
-11.9,0,24.0089111328125
-11.4,0,24.1256923675537
-10.9,0,23.5661315917969
-10.4,0,23.3547134399414
-9.9,0,23.6649589538574
-9.4,0,24.1200656890869
-8.9,0,23.9206352233887
-8.4,0,23.8840999603271
-7.9,0,23.3602352142334
-7.4,0,24.3898162841797
-6.9,0,24.7052211761475
-6.4,0,24.3585929870605
-5.9,0,23.6234111785889
-5.4,0,24.1096305847168
-4.9,0,23.5880279541016
-4.4,0,23.425687789917
-3.9,0,23.6020832061768
-3.4,0,23.9609489440918
-2.9,0,23.7795314788818
-2.4,0,22.3352870941162
-1.9,0,19.6044845581055
-1.4,0,16.8134460449219
-0.899999999999999,0,16.0782833099365
-0.399999999999999,0,16.2835998535156
-50.9,0.5,22.6118946075439
-49.4,0.5,20.9507312774658
-48.9,0.5,21.1835956573486
-48.4,0.5,21.766357421875
-47.9,0.5,22.137845993042
-47.4,0.5,22.5786190032959
-46.9,0.5,22.6476078033447
-46.4,0.5,21.7166805267334
-45.9,0.5,22.2410755157471
-45.4,0.5,22.5015621185303
-44.9,0.5,23.0462608337402
-44.4,0.5,22.3652305603027
-43.9,0.5,22.7056903839111
-43.4,0.5,23.2751331329346
-42.9,0.5,23.2766914367676
-42.4,0.5,23.2727680206299
-41.9,0.5,23.2779941558838
-41.4,0.5,23.3466949462891
-40.9,0.5,22.6351432800293
-40.4,0.5,23.5754661560059
-39.9,0.5,23.9826564788818
-39.4,0.5,23.4938907623291
-38.9,0.5,22.6960201263428
-38.4,0.5,22.074047088623
-37.9,0.5,22.2043380737305
-37.4,0.5,22.381799697876
-36.9,0.5,22.9517383575439
-36.4,0.5,23.2312602996826
-35.9,0.5,23.1573791503906
-35.4,0.5,22.7513675689697
-34.9,0.5,22.8967094421387
-34.4,0.5,23.0866718292236
-33.9,0.5,23.3720741271973
-33.4,0.5,23.2194004058838
-32.9,0.5,22.8672409057617
-32.4,0.5,23.1098022460938
-31.9,0.5,23.3220558166504
-31.4,0.5,23.5095024108887
-30.9,0.5,23.2818431854248
-30.4,0.5,23.4910793304443
-29.9,0.5,23.467565536499
-29.4,0.5,23.4533977508545
-28.9,0.5,24.2768669128418
-28.4,0.5,23.9036235809326
-27.9,0.5,23.5156764984131
-27.4,0.5,22.8442554473877
-26.9,0.5,22.9787750244141
-26.4,0.5,23.1315517425537
-25.9,0.5,22.8030796051025
-25.4,0.5,22.5392074584961
-24.9,0.5,22.360954284668
-24.4,0.5,23.0771636962891
-23.9,0.5,23.6450309753418
-23.4,0.5,23.7728309631348
-22.9,0.5,23.4096069335938
-22.4,0.5,23.0025081634521
-21.9,0.5,23.2841129302979
-21.4,0.5,23.6811389923096
-20.9,0.5,24.0837955474854
-20.4,0.5,23.8834762573242
-19.9,0.5,23.4476795196533
-19.4,0.5,23.344274520874
-18.9,0.5,22.9792060852051
-18.4,0.5,22.533712387085
-17.9,0.5,22.3274326324463
-17.4,0.5,23.0151615142822
-16.9,0.5,23.5377902984619
-16.4,0.5,23.0546779632568
-15.9,0.5,23.370189666748
-15.4,0.5,23.6353588104248
-14.9,0.5,23.6508331298828
-14.4,0.5,23.8530559539795
-13.9,0.5,23.6969699859619
-13.4,0.5,23.4057235717773
-12.9,0.5,22.9722747802734
-12.4,0.5,23.1229343414307
-11.9,0.5,23.4197807312012
-11.4,0.5,24.0668277740479
-10.9,0.5,23.5235710144043
